User Speed (m/s),Signal Strength (dBm),Battery Level (%),Network Congestion,Distance from Base Station (m),Handover Events,Power Consumption (mW),Transmission Power (dBm),Throughput (Mbps),Latency (ms),RF Link Quality
26.06,-97.17,79,Medium,796.62,4,730.22,26.58,1.0,104.9,Poor
1.03,-82.27,64,Medium,565.33,0,519.54,19.14,24.28,78.18,Moderate
26.64,-91.34,18,High,564.13,4,627.87,23.67,1.0,127.07,Poor
2.66,-78.29,16,Medium,480.65,0,314.16,17.15,26.53,62.56,Moderate
1.81,-78.26,46,Medium,455.25,0,510.58,17.13,32.94,76.18,Moderate
1.57,-95.25,42,Medium,717.42,0,785.35,25.63,6.15,103.12,Poor
1.45,-69.26,29,Medium,325.21,0,581.14,12.63,44.98,59.0,Moderate
1.11,-84.77,51,Low,492.17,0,561.11,20.38,41.53,28.84,Good
11.27,-89.1,34,High,565.05,3,483.51,22.55,1.0,109.38,Poor
12.04,-92.95,74,Medium,756.84,1,754.49,24.48,1.33,105.83,Poor
1.46,-81.64,27,High,505.78,0,605.96,18.82,1.0,131.49,Poor
22.43,-92.98,24,Low,666.22,3,697.22,24.49,7.2,58.21,Poor
24.82,-86.43,82,Low,586.39,2,624.32,21.22,1.0,58.76,Poor
12.97,-65.81,12,Medium,188.7,1,499.4,10.9,33.95,55.15,Moderate
21.55,-66.11,57,Low,217.19,2,410.92,11.05,35.12,38.75,Moderate
2.11,-100.16,34,Medium,771.78,0,806.29,28.08,3.06,102.0,Poor
1.8,-73.83,55,High,430.5,0,439.3,14.91,19.61,110.57,Poor
0.69,-79.14,91,Medium,392.63,0,498.91,17.57,39.42,77.49,Moderate
22.25,-73.83,33,Low,463.67,2,438.38,14.92,40.66,44.97,Good
13.05,-87.84,29,Medium,668.13,2,404.38,21.92,1.0,83.39,Poor
0.03,-86.16,66,Medium,596.67,0,468.41,21.08,20.88,79.41,Moderate
0.54,-80.72,45,High,591.84,0,482.96,18.36,13.82,111.82,Poor
2.44,-101.53,35,Medium,697.89,0,701.73,28.76,1.0,99.99,Poor
11.05,-77.25,27,Medium,475.06,0,497.29,16.62,16.79,68.64,Moderate
25.1,-75.67,35,High,376.61,3,455.37,15.83,1.0,117.99,Poor
11.48,-95.5,92,High,627.61,2,716.05,25.75,1.0,126.76,Poor
13.49,-88.92,19,Low,603.85,3,342.37,22.46,22.41,46.63,Moderate
0.72,-98.35,98,Medium,752.48,0,611.26,27.17,3.65,92.8,Poor
2.44,-50.25,68,Medium,75.23,0,439.45,5.0,67.57,59.31,Moderate
11.52,-89.54,95,Low,620.3,1,427.89,22.77,30.01,64.09,Moderate
0.52,-72.97,24,High,379.59,0,472.55,14.49,23.25,121.25,Poor
13.08,-94.39,31,Medium,731.53,2,699.96,25.19,1.0,98.83,Poor
1.01,-91.83,51,Low,678.65,0,690.71,23.92,44.34,62.67,Moderate
2.61,-70.76,59,High,368.41,0,377.79,13.38,24.17,115.34,Poor
11.31,-87.61,21,Medium,547.48,2,500.6,21.81,4.85,75.02,Poor
9.38,-90.82,13,Low,599.59,0,562.47,23.41,25.96,52.83,Moderate
0.23,-91.22,49,High,611.35,0,630.34,23.61,1.0,119.41,Poor
19.19,-93.45,82,High,642.98,1,712.71,24.72,1.0,126.13,Poor
25.58,-54.29,83,Low,123.63,3,504.45,5.14,58.61,9.45,Good
24.09,-102.28,26,Medium,795.9,4,695.39,29.14,1.0,92.53,Poor
1.87,-84.69,77,Low,607.06,0,532.41,20.34,52.42,49.58,Good
1.1,-62.55,37,Low,210.51,0,547.1,9.28,81.2,27.63,Good
24.99,-110.15,20,High,880.94,4,732.88,30.0,1.0,141.48,Poor
12.71,-70.34,89,High,365.7,2,531.88,13.17,1.0,111.26,Poor
0.29,-68.88,14,High,299.42,0,427.59,12.44,25.32,98.48,Moderate
1.49,-91.22,85,High,685.06,0,624.8,23.61,1.0,135.35,Poor
0.9,-97.2,81,Medium,619.15,0,647.38,26.6,3.14,96.22,Poor
2.36,-66.62,22,Low,301.17,0,515.26,11.31,73.24,43.91,Good
13.56,-94.9,64,Low,748.24,3,733.15,25.45,17.91,49.95,Moderate
0.33,-80.55,58,Low,515.95,0,482.41,18.27,52.1,41.43,Good
21.54,-87.83,61,High,496.78,1,522.9,21.92,1.0,125.43,Poor
9.65,-99.77,57,Medium,730.38,0,655.87,27.89,1.0,98.54,Poor
2.03,-70.49,54,Low,361.19,0,458.0,13.25,71.15,31.59,Good
0.84,-61.83,82,Medium,263.59,0,560.67,8.91,47.89,51.61,Moderate
1.05,-120.0,36,Low,1054.94,0,679.74,30.0,1.0,75.63,Poor
9.03,-77.22,25,Low,463.67,0,487.53,16.61,42.11,35.08,Good
21.61,-95.09,23,Medium,709.14,3,789.18,25.54,1.0,89.7,Poor
13.14,-98.37,72,Low,761.69,3,594.12,27.18,10.72,75.81,Poor
1.23,-95.09,31,Low,658.08,0,639.57,25.55,32.23,51.39,Moderate
22.1,-83.85,31,Medium,455.63,3,569.34,19.92,1.0,99.83,Poor
1.12,-83.9,69,Medium,592.77,0,459.96,19.95,21.83,65.35,Moderate
0.01,-92.37,61,Medium,686.99,0,567.05,24.18,19.23,84.17,Moderate
1.76,-76.2,88,Medium,441.34,0,435.11,16.1,36.85,68.27,Moderate
2.52,-78.28,75,Low,411.14,0,564.78,17.14,52.4,27.78,Good
1.81,-93.86,62,Low,558.01,0,819.15,24.93,31.69,49.22,Moderate
19.86,-59.85,16,Low,329.08,1,407.29,7.93,50.18,25.77,Good
0.0,-88.1,95,Low,673.22,0,551.38,22.05,37.48,54.29,Moderate
0.33,-108.5,78,Low,848.32,0,641.64,30.0,14.1,54.56,Poor
2.27,-104.3,98,Low,722.34,0,719.63,30.0,23.12,52.81,Moderate
10.2,-83.25,17,Low,477.97,0,479.02,19.63,50.72,47.83,Good
17.84,-116.05,32,High,929.78,3,676.76,30.0,1.0,136.21,Poor
10.63,-77.05,41,Medium,482.78,1,564.57,16.52,15.09,69.29,Moderate
8.77,-91.15,29,Low,618.33,1,723.96,23.58,34.24,44.97,Moderate
2.24,-56.18,80,Medium,20.11,0,546.91,6.09,65.61,56.44,Moderate
10.55,-61.36,45,High,367.23,1,486.98,8.68,18.61,118.37,Poor
2.63,-90.73,22,Low,704.85,0,718.52,23.36,34.89,51.41,Moderate
19.19,-74.51,27,Low,393.02,3,636.11,15.25,35.76,43.94,Moderate
8.67,-68.82,36,Low,332.19,0,608.6,12.41,57.56,34.9,Good
23.79,-92.17,31,Low,669.25,4,760.12,24.08,6.98,45.9,Poor
13.7,-100.2,23,Low,660.63,2,684.32,28.1,9.57,56.23,Poor
0.06,-85.41,94,High,464.24,0,532.98,20.71,1.0,118.91,Poor
1.81,-58.98,84,Low,228.77,0,494.75,7.49,84.8,16.2,Good
17.76,-82.13,28,Medium,507.44,1,543.75,19.06,6.42,88.31,Poor
1.27,-86.44,38,Low,647.6,0,447.79,21.22,41.9,44.63,Good
20.14,-89.84,38,High,573.38,3,463.79,22.92,1.0,127.28,Poor
1.16,-102.44,57,Medium,801.33,0,808.2,29.22,2.02,96.19,Poor
1.84,-93.54,33,Medium,653.86,0,662.33,24.77,13.01,101.46,Poor
2.07,-70.09,42,Medium,347.98,0,514.27,13.05,28.7,80.2,Moderate
1.23,-82.61,72,Medium,531.79,0,525.51,19.3,25.41,85.48,Moderate
13.45,-114.38,54,Low,913.74,1,806.79,30.0,1.0,65.58,Poor
10.1,-120.0,44,High,1068.81,0,699.52,30.0,1.0,147.92,Poor
8.4,-72.4,13,High,343.66,1,282.33,14.2,13.2,126.78,Poor
12.34,-93.88,32,Medium,746.0,2,751.63,24.94,1.0,86.87,Poor
25.14,-99.23,46,Low,823.69,4,689.61,27.61,1.0,56.47,Poor
19.66,-93.56,59,Low,666.38,2,762.83,24.78,5.61,51.24,Poor
27.48,-113.24,17,Low,1003.7,3,649.09,30.0,1.0,56.14,Poor
20.4,-81.94,39,Medium,561.02,3,502.26,18.97,1.0,68.03,Poor
9.41,-76.87,58,Medium,397.87,1,502.15,16.44,19.12,76.94,Moderate
0.22,-87.27,16,Low,511.88,0,398.36,21.63,55.03,49.71,Good
8.82,-72.46,95,Low,331.36,1,413.07,14.23,48.92,44.63,Good
23.95,-97.51,86,Low,705.98,2,681.67,26.75,1.0,43.13,Poor
12.07,-88.96,21,Low,495.49,3,521.14,22.48,22.29,43.36,Moderate
12.3,-109.7,49,High,853.34,2,670.7,30.0,1.0,139.76,Poor
11.31,-74.05,62,Low,489.04,3,558.63,15.02,50.52,30.81,Good
18.73,-94.97,91,Low,706.07,2,707.13,25.49,6.72,65.22,Poor
1.58,-91.32,36,Medium,633.72,0,715.31,23.66,20.23,89.85,Moderate
23.06,-80.93,40,Low,470.54,2,516.07,18.46,18.96,48.2,Moderate
19.58,-72.8,59,Medium,354.71,3,535.88,14.4,8.64,78.35,Poor
2.28,-54.37,98,Medium,173.8,0,554.8,5.19,67.66,46.07,Good
1.27,-78.96,49,Medium,504.79,0,493.1,17.48,17.12,58.39,Moderate
1.97,-96.01,56,High,710.51,0,659.95,26.0,1.0,152.67,Poor
1.49,-84.51,59,Medium,562.35,0,415.33,20.25,23.74,89.46,Moderate
0.17,-93.35,35,Low,720.01,0,790.05,24.67,49.96,39.55,Good
12.81,-84.38,12,Medium,576.84,2,387.94,20.19,9.77,89.79,Poor
0.11,-77.28,92,High,331.18,0,476.02,16.64,1.0,116.75,Poor
24.03,-75.17,100,Low,458.89,2,537.36,15.58,27.35,36.53,Moderate
21.85,-74.24,47,Medium,278.24,2,467.33,15.12,1.0,86.83,Poor
2.74,-92.58,60,Medium,686.06,0,668.24,24.29,1.0,96.87,Poor
1.87,-96.13,32,Medium,674.43,0,657.97,26.07,5.75,106.33,Poor
10.54,-87.64,98,Medium,594.02,0,511.48,21.82,8.75,92.75,Poor
0.52,-73.04,26,Low,376.23,0,532.37,14.52,70.38,31.32,Good
24.03,-72.05,21,Low,350.42,2,445.59,14.02,31.81,48.63,Moderate
0.2,-91.25,73,Medium,623.03,0,828.37,23.62,12.27,82.1,Poor
0.18,-72.6,60,Medium,368.24,0,466.36,14.3,42.8,72.87,Moderate
26.81,-94.38,58,Low,697.47,3,685.73,25.19,1.0,39.52,Poor
26.13,-78.98,35,Medium,384.67,4,449.83,17.49,1.0,84.12,Poor
1.74,-84.98,34,High,519.73,0,449.49,20.49,1.0,128.83,Poor
0.35,-50.0,40,Medium,31.9,0,454.44,5.0,81.72,55.04,Moderate
1.77,-96.17,53,Medium,680.64,0,678.37,26.08,1.0,82.72,Poor
11.08,-85.37,54,Low,601.1,0,483.98,20.68,31.87,51.48,Moderate
1.11,-75.15,74,Low,373.02,0,543.43,15.58,64.04,22.59,Good
0.73,-90.02,38,High,701.36,0,771.52,23.01,1.0,119.11,Poor
10.82,-73.12,49,High,378.34,1,442.55,14.56,1.0,119.25,Poor
13.05,-93.69,58,Medium,690.08,1,786.07,24.84,1.0,89.52,Poor
9.21,-76.28,68,Medium,353.96,0,439.98,16.14,29.01,76.66,Moderate
0.85,-104.02,87,Medium,782.62,0,667.03,30.0,8.71,91.97,Poor
13.3,-76.45,17,Low,435.38,3,436.46,16.22,43.63,28.0,Good
2.1,-89.84,56,Medium,627.71,0,521.22,22.92,19.82,78.95,Moderate
1.14,-97.66,60,Medium,705.08,0,735.37,26.83,3.94,80.02,Poor
21.64,-80.69,14,Low,533.67,3,380.42,18.35,22.15,37.09,Moderate
2.43,-82.81,84,Low,557.37,0,463.18,19.41,50.81,41.43,Good
13.27,-57.44,93,Low,94.99,3,547.31,6.72,72.37,29.32,Good
13.55,-102.86,52,Low,818.54,3,653.26,29.43,7.56,47.78,Poor
0.15,-90.43,78,Medium,544.48,0,673.93,23.22,14.81,85.07,Poor
26.12,-67.74,92,Low,351.15,3,550.13,11.87,26.78,42.22,Moderate
2.76,-78.6,99,Low,439.74,0,482.52,17.3,47.92,42.02,Good
13.03,-60.9,85,Medium,214.2,1,579.15,8.45,36.56,54.44,Moderate
26.78,-92.15,38,Medium,652.42,4,620.65,24.07,1.0,102.4,Poor
11.93,-96.98,53,Low,708.38,2,614.7,26.49,7.18,38.92,Poor
23.48,-80.92,25,Medium,472.35,4,478.97,18.46,1.0,73.23,Poor
1.34,-66.43,26,High,354.85,0,500.63,11.22,29.57,104.67,Poor
8.89,-77.75,45,Medium,513.21,0,406.97,16.87,22.8,95.36,Moderate
13.17,-91.01,49,Medium,578.27,1,777.22,23.5,1.0,86.96,Poor
0.27,-92.24,79,Medium,672.14,0,712.94,24.12,8.78,79.87,Poor
0.43,-56.65,10,Low,219.73,0,365.31,6.33,98.11,28.13,Good
26.69,-67.3,73,High,440.14,3,476.31,11.65,1.0,105.79,Poor
1.69,-79.02,73,Low,473.69,0,503.93,17.51,60.24,39.99,Good
10.87,-111.57,80,Medium,935.04,1,719.66,30.0,1.0,91.81,Poor
12.49,-118.18,25,High,943.6,1,667.24,30.0,1.0,151.6,Poor
20.26,-74.22,16,Medium,429.84,2,496.38,15.11,13.94,75.18,Poor
26.85,-85.41,26,Low,527.95,3,540.51,20.71,7.4,50.42,Poor
2.16,-71.39,69,High,403.87,0,561.63,13.69,13.02,88.82,Poor
17.39,-70.72,75,High,413.67,1,537.55,13.36,1.0,104.1,Poor
2.09,-65.97,18,Low,295.97,0,255.66,10.98,70.72,49.78,Good
0.59,-77.8,70,Medium,443.58,0,395.41,16.9,40.68,79.37,Moderate
24.49,-85.14,42,High,584.43,2,504.55,20.57,1.0,129.39,Poor
0.83,-82.06,60,Low,537.63,0,488.14,19.03,50.04,45.76,Good
0.12,-74.33,28,Medium,441.16,0,498.55,15.16,38.61,57.82,Moderate
2.03,-86.65,61,Low,578.2,0,491.58,21.33,44.9,56.08,Moderate
24.02,-105.98,23,High,830.33,2,625.89,30.0,1.0,135.68,Poor
8.71,-67.74,49,Low,312.99,1,545.7,11.87,62.91,29.93,Good
25.41,-61.47,47,Medium,208.46,2,644.1,8.73,27.08,76.02,Moderate
0.56,-73.05,25,Low,346.22,0,531.75,14.52,72.68,46.09,Good
0.77,-88.78,27,Medium,639.46,0,488.5,22.39,18.96,85.9,Moderate
2.27,-95.27,37,Low,674.23,0,766.38,25.64,28.21,61.02,Moderate
0.05,-104.72,24,Medium,776.78,0,601.13,30.0,1.0,97.83,Poor
2.25,-94.78,78,High,750.78,0,752.57,25.39,1.0,123.11,Poor
25.66,-77.83,10,High,466.64,3,390.23,16.92,1.0,139.5,Poor
0.62,-90.38,42,Medium,642.73,0,748.84,23.19,16.38,95.73,Moderate
12.75,-95.43,51,Low,625.39,1,699.12,25.72,23.79,54.02,Moderate
11.02,-67.15,53,Medium,239.9,0,488.85,11.57,34.57,77.01,Moderate
17.3,-112.64,20,Low,907.3,3,759.21,30.0,1.0,74.82,Poor
18.39,-67.19,100,Low,339.14,3,540.48,11.6,48.22,43.35,Good
1.68,-71.5,98,Medium,351.73,0,388.91,13.75,46.82,81.09,Moderate
0.88,-83.26,77,Medium,452.18,0,600.34,19.63,19.06,91.76,Moderate
12.12,-112.96,27,High,891.69,2,685.66,30.0,1.0,138.08,Poor
0.95,-74.46,59,High,461.36,0,539.21,15.23,20.4,119.43,Poor
9.5,-83.86,84,Low,560.47,1,448.24,19.93,45.3,47.17,Good
20.38,-74.72,80,Low,357.89,2,527.99,15.36,25.09,54.82,Moderate
2.13,-86.49,53,Low,577.57,0,475.78,21.24,52.04,43.53,Good
0.76,-69.3,67,Low,360.66,0,497.06,12.65,66.25,40.31,Good
10.06,-94.74,62,Medium,605.06,0,732.55,25.37,1.0,104.33,Poor
8.42,-103.39,88,Low,766.72,0,728.71,29.7,12.12,63.13,Poor
11.1,-105.19,32,Medium,808.25,1,729.41,30.0,1.0,87.39,Poor
1.55,-109.59,50,Medium,840.27,0,756.83,30.0,1.0,99.71,Poor
11.49,-103.69,79,Medium,852.58,3,759.48,29.85,1.0,90.56,Poor
1.58,-50.0,95,Medium,25.53,0,420.57,5.0,70.69,65.93,Moderate
9.25,-85.11,62,Medium,516.77,0,494.24,20.56,6.99,85.64,Poor
26.87,-73.94,51,Medium,434.24,3,525.03,14.97,7.46,87.36,Poor
1.3,-69.23,38,Low,382.09,0,513.21,12.62,70.85,26.16,Good
1.56,-74.83,87,Low,452.69,0,476.69,15.42,61.76,54.78,Moderate
27.3,-68.3,58,High,357.46,2,477.04,12.15,1.0,111.57,Poor
2.21,-56.03,73,Low,263.29,0,665.17,6.02,87.23,27.54,Good
10.41,-84.37,80,Medium,420.11,0,529.67,20.18,8.55,96.95,Poor
1.01,-77.48,31,High,425.16,0,465.09,16.74,13.7,119.93,Poor
1.24,-113.23,59,High,875.14,0,725.96,30.0,1.0,145.23,Poor
0.74,-72.13,98,Medium,435.57,0,534.32,14.06,43.92,82.1,Moderate
12.31,-113.55,89,Medium,948.85,1,747.2,30.0,1.0,110.23,Poor
2.75,-98.98,94,High,698.71,0,666.18,27.49,1.0,143.0,Poor
1.99,-59.36,46,Low,240.55,0,549.94,7.68,81.9,31.44,Good
0.92,-94.42,19,Low,599.99,0,576.74,25.21,32.78,55.02,Moderate
2.37,-82.32,35,Medium,499.74,0,426.97,19.16,22.9,97.32,Moderate
0.13,-81.84,36,Medium,467.72,0,430.39,18.92,23.52,67.59,Moderate
24.41,-70.48,38,Medium,379.73,4,495.15,13.24,5.18,73.03,Poor
11.01,-66.58,87,Medium,308.88,0,423.31,11.29,34.67,70.89,Moderate
1.02,-89.17,40,High,601.08,0,505.47,22.59,1.0,135.4,Poor
2.35,-86.33,65,Medium,600.81,0,549.46,21.16,19.82,79.14,Moderate
2.28,-77.77,92,Medium,398.32,0,566.41,16.89,33.45,59.88,Moderate
2.4,-93.47,84,Medium,622.83,0,693.54,24.73,16.42,100.04,Poor
27.06,-70.69,75,Medium,357.84,4,430.2,13.35,10.81,87.53,Poor
13.34,-103.15,78,Medium,796.7,2,712.65,29.57,1.0,89.6,Poor
2.08,-84.15,87,Medium,525.79,0,550.04,20.08,20.42,94.48,Moderate
1.75,-78.15,37,Low,487.73,0,475.63,17.07,51.29,42.35,Good
21.98,-79.7,49,Medium,488.49,3,438.34,17.85,1.0,90.08,Poor
19.43,-84.69,18,Low,480.07,2,427.15,20.34,18.5,40.19,Moderate
1.61,-95.32,95,Medium,663.67,0,734.48,25.66,8.77,81.73,Poor
0.32,-96.78,53,Medium,729.92,0,545.8,26.39,16.44,106.13,Poor
1.05,-66.99,10,Low,335.29,0,431.13,11.5,71.84,25.18,Good
25.17,-100.64,75,Medium,719.18,3,688.98,28.32,1.0,93.2,Poor
21.27,-86.16,54,Medium,474.9,1,593.88,21.08,1.0,97.32,Poor
0.8,-95.35,28,High,751.78,0,726.02,25.67,1.0,141.93,Poor
1.5,-95.88,79,Medium,628.59,0,688.52,25.94,1.0,102.32,Poor
1.42,-70.13,65,Low,281.83,0,520.18,13.06,67.96,39.21,Good
13.79,-76.47,54,High,448.42,1,468.71,16.23,1.0,104.47,Poor
1.29,-86.82,17,Low,551.5,0,343.86,21.41,44.03,54.39,Moderate
13.34,-120.0,87,Medium,1075.8,3,719.49,30.0,1.0,102.98,Poor
2.17,-72.22,38,Medium,433.96,0,460.19,14.11,49.92,88.3,Moderate
13.09,-99.28,15,Medium,709.75,3,601.98,27.64,1.0,102.41,Poor
26.28,-91.43,98,Medium,657.46,3,668.83,23.71,1.0,73.99,Poor
25.9,-114.92,69,Medium,821.03,2,627.28,30.0,1.0,89.96,Poor
0.74,-73.09,76,Low,449.62,0,483.96,14.55,62.19,43.15,Good
0.85,-91.97,75,Low,709.49,0,680.13,23.99,33.11,59.07,Moderate
1.03,-88.07,67,Medium,640.15,0,525.03,22.03,23.34,89.9,Moderate
13.31,-82.82,10,Medium,531.29,2,368.93,19.41,10.44,79.32,Poor
16.72,-107.63,93,Medium,867.95,2,760.42,30.0,1.0,102.2,Poor
10.65,-101.14,89,Low,717.16,1,733.08,28.57,13.54,49.14,Poor
19.96,-81.78,71,Low,552.21,3,542.03,18.89,21.26,49.33,Moderate
11.17,-80.44,56,Medium,516.03,1,553.81,18.22,20.42,71.38,Moderate
13.74,-86.0,86,High,470.44,2,596.32,21.0,1.0,129.06,Poor
1.84,-58.71,51,Medium,224.2,0,432.35,7.36,60.51,64.74,Moderate
2.31,-93.47,35,High,660.94,0,712.79,24.73,1.0,139.87,Poor
19.3,-76.7,39,Medium,456.8,2,451.99,16.35,7.17,70.23,Poor
12.37,-86.66,58,Low,623.69,2,595.08,21.33,31.11,52.43,Moderate
13.34,-113.13,53,Medium,924.31,3,770.01,30.0,1.0,111.27,Poor
8.45,-70.75,24,Medium,428.3,1,521.32,13.38,26.16,73.94,Moderate
17.4,-69.46,11,Medium,330.78,1,486.8,12.73,19.55,72.57,Moderate
0.36,-61.78,76,Low,193.98,0,526.9,8.89,80.18,32.51,Good
13.06,-93.92,22,Medium,718.18,3,761.68,24.96,1.0,102.14,Poor
8.46,-77.0,65,Medium,383.52,1,432.84,16.5,20.26,81.12,Moderate
10.04,-106.77,29,Low,836.21,1,731.45,30.0,4.2,58.04,Poor
12.84,-80.89,91,High,446.83,1,463.42,18.44,1.0,134.69,Poor
0.03,-85.03,77,Medium,669.76,0,566.29,20.51,22.97,85.72,Moderate
1.76,-88.19,18,Low,651.09,0,424.1,22.1,42.51,47.12,Good
1.54,-91.63,16,Low,625.2,0,576.58,23.81,31.63,62.34,Moderate
16.97,-99.61,56,Medium,736.81,3,742.29,27.81,1.0,92.34,Poor
1.2,-91.39,68,High,641.57,0,677.94,23.7,1.0,126.3,Poor
8.93,-107.97,35,Low,921.91,1,688.04,30.0,1.0,38.61,Poor
1.29,-98.84,83,Medium,734.61,0,714.66,27.42,5.41,107.54,Poor
1.96,-91.58,55,Low,618.31,0,643.37,23.79,29.49,54.92,Moderate
26.33,-110.92,69,Low,778.18,4,705.44,30.0,1.0,67.48,Poor
1.05,-66.42,60,Low,307.24,0,529.07,11.21,77.36,27.69,Good
16.79,-114.15,87,High,932.94,2,669.09,30.0,1.0,153.39,Poor
1.69,-90.57,27,Low,608.77,0,657.57,23.28,40.39,50.29,Moderate
8.6,-65.83,78,High,280.66,1,551.98,10.92,16.14,112.89,Poor
21.73,-101.37,46,Low,766.71,1,713.21,28.69,1.89,45.8,Poor
9.5,-92.5,89,Medium,630.84,1,704.4,24.25,7.15,93.35,Poor
20.12,-64.86,71,Medium,375.22,3,550.26,10.43,24.39,79.21,Moderate
1.6,-92.29,22,Medium,617.17,0,765.51,24.14,9.79,89.78,Poor
2.21,-66.08,94,Medium,271.49,0,398.15,11.04,55.21,76.43,Moderate
2.5,-81.53,67,Low,469.27,0,512.41,18.77,47.06,38.2,Good
2.68,-78.18,53,High,443.92,0,514.32,17.09,6.66,100.8,Poor
21.6,-88.18,26,Low,563.79,2,466.64,22.09,20.38,57.3,Moderate
0.33,-106.38,66,High,795.46,0,661.83,30.0,1.0,134.43,Poor
12.06,-68.58,53,High,314.45,2,513.51,12.29,11.4,101.13,Poor
11.64,-102.78,46,Medium,719.46,2,685.23,29.39,1.0,89.1,Poor
2.69,-65.7,38,Medium,283.56,0,552.37,10.85,56.35,86.9,Moderate
0.1,-85.27,26,Medium,575.09,0,460.42,20.64,34.71,66.88,Moderate
2.26,-63.83,100,Medium,281.28,0,567.57,9.92,50.45,59.86,Moderate
11.44,-85.25,95,Medium,528.4,2,514.79,20.62,5.19,71.44,Poor
11.62,-95.73,47,Low,770.14,3,694.11,25.87,26.88,38.14,Moderate
0.41,-73.45,67,High,358.33,0,530.44,14.73,15.76,116.79,Poor
12.22,-85.14,36,Low,586.18,3,581.92,20.57,26.04,30.87,Moderate
10.41,-71.03,89,Medium,361.78,0,503.98,13.52,35.28,85.59,Moderate
0.13,-78.6,89,Low,378.39,0,576.0,17.3,56.47,49.25,Good
12.74,-72.97,67,Low,339.69,1,461.08,14.48,44.16,29.21,Good
1.52,-93.98,73,Medium,628.97,0,746.07,24.99,13.88,84.91,Poor
0.77,-92.44,24,Medium,731.27,0,707.07,24.22,19.35,94.84,Moderate
2.28,-84.4,23,Low,546.47,0,520.45,20.2,46.03,34.52,Good
1.6,-75.07,84,Medium,364.38,0,457.76,15.53,36.06,53.88,Moderate
2.73,-80.04,56,Low,476.15,0,430.64,18.02,58.38,30.08,Good
0.93,-87.34,28,Medium,576.22,0,486.86,21.67,8.99,93.88,Poor
11.65,-95.68,68,Medium,701.79,1,791.36,25.84,1.0,80.09,Poor
12.22,-82.32,15,Low,485.29,1,355.05,19.16,30.47,38.42,Moderate
26.06,-73.01,24,Low,460.65,2,398.5,14.5,31.5,43.68,Moderate
2.43,-88.17,25,High,608.27,0,549.69,22.08,1.0,111.96,Poor
1.68,-85.57,30,Low,647.42,0,566.78,20.79,43.81,56.19,Moderate
8.71,-98.34,98,High,781.52,1,744.65,27.17,1.0,152.14,Poor
1.58,-113.77,49,Low,957.6,0,697.49,30.0,6.43,80.61,Poor
2.11,-105.02,100,Medium,806.13,0,706.52,30.0,1.0,102.3,Poor
0.84,-84.89,63,Low,607.54,0,522.65,20.45,53.78,39.69,Good
2.68,-88.04,46,High,478.27,0,509.95,22.02,1.0,114.35,Poor
0.93,-77.73,89,Medium,479.84,0,538.53,16.86,33.36,77.66,Moderate
0.81,-90.97,55,Medium,636.11,0,607.15,23.48,17.7,82.88,Moderate
2.21,-74.88,99,Medium,359.2,0,509.11,15.44,45.32,53.76,Moderate
0.5,-113.62,10,Medium,873.81,0,598.22,30.0,1.0,92.79,Poor
0.52,-83.55,42,Low,599.91,0,542.68,19.77,53.91,42.99,Good
17.98,-87.37,45,Low,548.45,2,487.72,21.68,14.3,48.88,Poor
2.4,-65.75,100,Medium,230.55,0,540.44,10.88,58.71,74.62,Moderate
21.37,-84.61,73,Medium,575.32,1,526.45,20.3,1.0,77.13,Poor
0.59,-81.05,38,Low,561.04,0,452.83,18.53,63.56,33.75,Good
0.77,-60.28,77,High,251.21,0,552.41,8.14,36.17,114.86,Poor
0.18,-119.34,11,High,860.44,0,630.09,30.0,1.0,144.23,Poor
1.58,-94.79,74,Medium,658.17,0,688.93,25.39,6.79,86.06,Poor
11.82,-96.66,48,Low,738.81,2,651.2,26.33,8.59,79.67,Poor
1.55,-81.22,58,Low,528.68,0,484.53,18.61,66.2,55.12,Moderate
0.3,-117.74,79,Medium,897.41,0,737.34,30.0,1.0,107.24,Poor
0.62,-54.64,23,Medium,158.88,0,400.78,5.32,75.78,74.37,Moderate
0.72,-66.71,72,Medium,298.96,0,454.31,11.36,53.19,80.59,Moderate
1.74,-76.18,37,High,432.9,0,500.24,16.09,7.91,122.73,Poor
0.7,-95.18,47,Low,661.84,0,751.17,25.59,41.36,61.13,Moderate
1.15,-118.78,78,Low,964.63,0,801.29,30.0,4.93,84.08,Poor
12.64,-86.05,48,Medium,656.18,3,522.97,21.02,4.69,86.86,Poor
18.14,-65.37,54,Low,364.04,3,532.28,10.68,50.21,18.81,Good
2.52,-81.73,63,Low,508.87,0,515.55,18.87,52.39,43.97,Good
19.72,-105.94,83,High,780.24,1,679.5,30.0,1.0,115.82,Poor
25.78,-70.1,33,Medium,462.8,4,450.23,13.05,6.93,70.46,Poor
0.48,-99.89,75,Medium,792.76,0,735.75,27.95,6.9,86.55,Poor
8.98,-107.02,36,Medium,824.68,0,741.99,30.0,1.0,86.62,Poor
0.94,-85.13,25,Low,533.1,0,409.96,20.56,41.86,39.44,Good
11.38,-65.49,68,Medium,311.99,3,535.88,10.75,29.68,72.87,Moderate
21.82,-78.02,19,Medium,447.53,1,467.74,17.01,1.0,83.4,Poor
1.54,-104.64,78,Medium,751.64,0,693.99,30.0,1.0,101.72,Poor
0.74,-76.21,90,High,458.35,0,534.59,16.1,9.93,126.11,Poor
